日付,始値,高値,安値,終値
2012-12-28,10406.36,10433.63,10374.85,10395.18
2012-12-27,10295.26,10376.39,10288.85,10322.98
2012-12-26,10131.22,10230.36,10107.34,10230.36
2012-12-25,10092.35,10119.35,10030.44,10080.12
2012-12-21,10145.58,10175.06,9924.42,9940.06
2012-12-20,10093.11,10147.68,10028.65,10039.33
2012-12-19,10025.40,10160.40,10016.98,10160.40
2012-12-18,9848.87,9967.24,9848.87,9923.01
2012-12-17,9895.68,9903.35,9826.30,9828.88
2012-12-14,9703.56,9775.75,9687.70,9737.56
2012-12-13,9681.20,9767.05,9672.47,9742.73
2012-12-12,9606.25,9606.25,9565.95,9581.46
2012-12-11,9510.60,9534.18,9487.95,9525.32
2012-12-10,9584.46,9584.46,9517.40,9533.75
2012-12-07,9547.14,9572.75,9522.13,9527.39
2012-12-06,9535.69,9565.43,9503.31,9545.16
2012-12-05,9380.37,9515.86,9376.97,9468.84
2012-12-04,9419.15,9457.19,9406.03,9432.46
2012-12-03,9484.20,9525.82,9453.48,9458.18
2012-11-30,9446.77,9492.91,9380.25,9446.01
2012-11-29,9370.29,9412.08,9350.40,9400.88
2012-11-28,9375.48,9407.62,9308.35,9308.35
2012-11-27,9371.13,9449.72,9370.59,9423.30
2012-11-26,9466.06,9487.94,9388.94,9388.94
2012-11-22,9336.32,9366.80,9304.72,9366.80
2012-11-21,9213.73,9248.98,9161.21,9222.52
2012-11-20,9198.42,9200.85,9129.43,9142.64
2012-11-19,9141.27,9183.46,9135.29,9153.20
2012-11-16,8898.33,9032.35,8898.33,9024.16
2012-11-15,8703.82,8829.72,8684.23,8829.72
2012-11-14,8660.27,8680.40,8653.49,8664.73
2012-11-13,8710.52,8723.46,8619.45,8661.05
2012-11-12,8701.28,8728.85,8676.44,8676.44
2012-11-09,8742.68,8779.24,8729.45,8757.60
2012-11-08,8868.42,8891.08,8811.41,8837.15
2012-11-07,9030.56,9032.32,8924.41,8972.89
2012-11-06,8989.58,8990.35,8957.49,8975.15
2012-11-05,9000.81,9040.18,8984.69,9007.44
2012-11-02,9049.22,9072.39,9031.43,9051.22
2012-11-01,8931.71,8976.08,8871.48,8946.87
2012-10-31,8911.08,8985.58,8905.44,8928.29
2012-10-30,8941.82,8995.81,8841.98,8841.98
2012-10-29,8958.79,8986.05,8909.37,8929.34
2012-10-26,9058.93,9075.59,8933.06,8933.06
2012-10-25,8952.13,9057.31,8941.85,9055.20
2012-10-24,8896.41,9043.80,8896.41,8954.30
2012-10-23,9066.03,9075.58,8970.50,9014.25
2012-10-22,8874.52,9031.55,8867.79,9010.71
2012-10-19,8944.03,9016.90,8940.38,9002.68
2012-10-18,8886.56,8992.36,8877.17,8982.86
2012-10-17,8777.39,8837.19,8758.70,8806.55
2012-10-16,8638.68,8707.95,8633.68,8701.31
2012-10-15,8517.77,8595.11,8488.14,8577.93
2012-10-12,8607.70,8620.18,8516.11,8534.12
2012-10-11,8514.63,8607.42,8514.63,8546.78
2012-10-10,8650.55,8660.68,8578.25,8596.23
